Education,Experience_Years,Programming,Python,SQL,Machine_Learning,Cloud,Communication,Leadership,Data_Analysis,Electronics,Networking,Linux,Project_Count,Certifications,Job_Role,Salary_LPA
MBA,1.0,6,8,3,1,10,5,6,3,3,10,7,2,1,Cloud Engineer,15.89
B.Sc,0.0,7,6,3,3,9,8,3,4,3,9,9,3,0,Cloud Engineer,11.95
M.Tech,4.0,10,5,7,2,4,7,6,4,1,4,9,6,2,Software Developer,20.36
B.Tech,4.0,5,6,7,2,3,8,5,8,1,2,3,5,3,Data Analyst,12.9
MBA,1.9,4,4,7,5,5,8,2,9,2,3,1,2,1,Data Analyst,13.09
Diploma,2.6,4,2,1,3,9,10,4,5,6,8,10,6,3,Network Engineer,17.97
B.Tech,2.1,5,4,3,2,2,4,6,3,10,3,5,5,0,Embedded Systems Engineer,11.13
BCA,2.8,6,2,2,1,10,9,3,1,4,10,9,5,1,Network Engineer,15.62
Diploma,1.2,5,3,5,4,6,6,8,1,3,8,6,2,1,Network Engineer,9.57
M.Tech,2.9,6,6,7,6,3,10,6,10,3,1,4,7,2,Data Analyst,17.06
B.Tech,3.6,7,10,5,8,6,7,4,9,3,3,6,7,3,Data Scientist,18.72
BCA,4.0,6,6,3,4,8,9,5,3,1,8,7,8,1,Cloud Engineer,18.86
B.Tech,2.6,8,4,5,2,10,6,5,5,2,10,8,7,1,Cloud Engineer,15.91
M.Tech,1.2,9,6,2,3,1,9,5,3,8,4,5,6,0,Embedded Systems Engineer,14.47
M.Sc,6.1,7,8,7,3,5,6,5,6,5,2,8,6,3,Software Developer,21.1
M.Tech,2.5,4,5,7,2,5,7,4,6,3,1,4,5,3,Data Analyst,12.84
B.Tech,3.5,9,10,8,9,5,7,3,8,2,2,3,6,2,Data Scientist,20.46
B.Tech,1.9,7,8,10,10,7,5,3,5,1,5,5,3,1,Data Scientist,15.07
BCA,2.2,8,3,3,6,3,3,3,3,9,3,6,2,1,Embedded Systems Engineer,13.7
B.Tech,3.0,3,2,6,2,4,9,8,8,2,4,5,7,2,Business Analyst,16.58
B.Sc,1.9,8,7,8,4,6,7,4,7,2,3,4,6,2,Data Analyst,13.75
B.Sc,0.2,9,8,4,5,4,7,7,7,2,3,2,1,1,Software Developer,9.37
BCA,4.0,6,4,6,4,7,6,3,3,3,7,9,7,3,Cloud Engineer,18.75
MBA,4.3,6,5,3,3,10,5,7,7,1,8,9,10,2,Cloud Engineer,19.2
B.Tech,3.1,6,7,9,5,4,7,3,8,2,4,3,4,1,Data Analyst,14.18
B.Tech,1.7,9,9,6,9,4,6,6,10,2,2,5,4,0,Data Scientist,17.07
B.Tech,3.4,4,2,2,1,7,5,5,6,2,9,4,5,3,Network Engineer,16.26
M.Sc,3.2,8,7,2,2,5,5,6,4,10,4,6,5,1,Embedded Systems Engineer,16.08
B.Tech,2.5,8,7,2,1,3,6,4,2,9,3,5,6,2,Embedded Systems Engineer,15.82
MBA,1.2,9,4,2,2,2,6,3,3,9,4,5,2,1,Embedded Systems Engineer,12.84
B.Tech,3.7,4,1,8,4,1,9,8,9,4,1,2,6,1,Business Analyst,14.34
BCA,4.2,7,5,5,2,8,4,6,3,3,7,9,5,2,Cloud Engineer,18.38
B.Sc,0.5,4,1,5,1,3,9,10,7,1,1,1,7,1,Business Analyst,12.34
M.Sc,2.8,8,7,7,1,3,8,5,5,3,4,4,4,2,Software Developer,13.83
B.Tech,3.4,4,3,5,1,1,10,7,7,4,1,1,4,3,Business Analyst,17.0
MBA,1.0,7,8,8,3,2,6,9,10,1,1,4,4,2,Data Analyst,12.84
BCA,7.0,6,2,3,1,8,7,3,3,3,9,7,10,4,Network Engineer,21.04
M.Tech,3.3,5,7,10,3,2,10,7,9,3,5,2,5,3,Data Analyst,19.07
B.Tech,0.7,8,7,9,3,3,5,4,3,1,6,7,2,1,Software Developer,11.61
B.Tech,4.1,5,6,3,1,8,6,4,4,3,8,9,5,2,Cloud Engineer,17.32
B.Tech,4.4,8,7,6,6,4,4,4,6,3,2,6,4,3,Software Developer,15.38
Diploma,2.8,3,2,8,1,4,10,7,9,1,4,1,2,1,Business Analyst,10.14
B.Tech,0.5,1,3,8,2,1,9,7,7,1,2,1,3,2,Business Analyst,12.27
B.Tech,1.1,6,5,3,3,9,7,7,2,3,8,8,4,2,Cloud Engineer,12.88
B.Sc,2.4,2,1,5,2,3,9,8,7,1,2,1,1,1,Business Analyst,6.93
B.Tech,4.0,10,10,4,9,8,5,6,7,2,7,6,5,1,ML Engineer,18.52
B.Tech,1.6,6,9,6,9,5,4,5,8,3,4,5,2,1,Data Scientist,14.46
M.Sc,1.9,7,5,3,1,4,6,7,4,9,3,5,4,3,Embedded Systems Engineer,16.57
B.Sc,3.9,4,4,5,2,5,8,7,8,1,2,2,6,3,Business Analyst,17.54
B.Sc,5.5,7,7,8,5,4,9,4,10,2,3,2,9,2,Data Analyst,17.81
BCA,5.0,9,7,8,5,5,5,4,8,4,3,5,5,4,Software Developer,20.04
MBA,3.4,2,3,4,1,1,8,6,8,5,4,1,3,1,Business Analyst,11.02
B.Tech,4.5,10,9,5,8,5,5,5,6,3,3,7,7,2,ML Engineer,20.76
Diploma,3.4,4,4,6,3,1,7,8,10,1,4,2,4,1,Business Analyst,12.98
B.Tech,2.6,8,7,8,10,6,7,4,10,3,2,4,1,2,Data Scientist,15.57
M.Tech,0.0,5,8,6,3,4,7,4,10,3,3,3,2,1,Data Analyst,11.77
B.Tech,3.4,10,6,7,3,5,7,6,5,2,3,4,6,3,Software Developer,15.62
M.Sc,3.8,4,1,7,1,2,8,8,8,2,3,1,6,3,Business Analyst,17.43
M.Sc,1.3,10,5,8,10,5,4,4,9,1,1,4,2,3,Data Scientist,16.6
M.Tech,3.7,10,9,8,10,7,5,4,7,3,5,8,7,3,ML Engineer,22.72
MBA,3.2,4,1,4,1,3,9,8,6,2,4,1,3,2,Business Analyst,16.28
B.Tech,4.7,7,3,1,3,6,8,7,3,1,6,7,7,4,Network Engineer,18.72
B.Tech,3.9,5,4,2,5,2,6,4,1,6,5,8,7,3,Embedded Systems Engineer,15.63
M.Sc,2.7,5,4,5,3,8,8,7,4,5,10,6,2,2,Network Engineer,15.24
B.Sc,2.4,8,7,6,3,3,10,4,10,1,5,3,4,1,Data Analyst,14.98
M.Tech,3.7,6,3,3,3,8,7,6,3,5,8,10,6,3,Network Engineer,17.1
B.Tech,5.1,5,7,3,3,6,4,8,2,5,9,9,9,3,Network Engineer,20.07
B.Tech,0.8,7,3,5,4,9,8,5,5,1,10,10,2,0,Cloud Engineer,13.28
BCA,3.3,1,2,6,2,5,7,7,5,4,2,1,5,3,Business Analyst,14.27
BCA,5.7,5,3,2,2,10,7,4,4,4,9,7,9,4,Network Engineer,20.99
B.Tech,4.8,7,7,4,4,9,6,5,3,2,6,8,7,2,Cloud Engineer,19.84
M.Sc,5.4,4,2,5,2,1,10,5,8,1,3,1,5,2,Business Analyst,17.39
B.Tech,4.5,7,8,8,4,4,5,4,9,4,3,3,7,3,Data Analyst,17.51
B.Sc,3.7,4,2,5,4,2,10,9,9,2,3,3,6,2,Business Analyst,13.17
BCA,0.9,5,6,8,6,5,6,7,9,2,3,1,2,2,Data Analyst,10.87
B.Sc,2.8,6,6,5,1,4,9,7,1,6,10,8,7,3,Network Engineer,16.9
B.Tech,3.3,3,2,6,1,4,8,8,8,1,3,1,8,1,Business Analyst,13.69
MBA,3.5,5,2,1,2,8,8,6,2,5,9,8,5,2,Network Engineer,16.35
MBA,2.1,9,9,5,4,6,7,5,7,1,5,4,1,2,Software Developer,16.47
BCA,1.4,5,4,10,2,4,5,5,8,1,5,5,3,2,Data Analyst,14.14
B.Tech,1.8,9,3,1,2,2,3,5,2,10,4,5,3,1,Embedded Systems Engineer,11.33
MBA,2.0,9,5,8,3,7,8,4,7,3,5,6,3,1,Software Developer,16.15
Diploma,3.3,10,10,6,10,5,7,4,6,2,4,8,3,2,ML Engineer,17.96
B.Tech,5.7,8,8,4,10,5,6,6,8,3,3,6,9,2,ML Engineer,23.27
M.Sc,3.3,6,4,5,1,8,5,6,2,4,8,9,5,4,Network Engineer,19.04
B.Tech,2.8,6,6,5,4,9,7,4,2,2,7,8,3,3,Cloud Engineer,15.09
BCA,4.1,8,2,4,3,7,8,2,1,2,10,9,6,4,Network Engineer,18.73
B.Tech,1.8,6,4,3,1,3,5,4,4,10,1,4,4,2,Embedded Systems Engineer,11.92
M.Tech,2.6,8,7,4,2,6,9,3,5,2,4,4,5,1,Software Developer,15.38
B.Tech,2.0,8,9,8,3,3,7,4,6,3,2,7,7,1,Software Developer,14.44
B.Tech,2.3,6,7,7,4,3,7,7,10,1,4,5,3,2,Data Analyst,15.74
B.Tech,4.4,7,7,10,8,5,7,2,7,6,3,4,5,3,ML Engineer,22.06
BCA,0.7,3,5,8,1,3,9,6,7,1,3,1,0,1,Business Analyst,11.43
B.Tech,0.3,6,6,7,3,5,4,6,9,1,1,6,0,0,Data Analyst,10.67
BCA,1.6,9,7,1,1,1,6,4,5,10,3,7,2,1,Embedded Systems Engineer,12.35
B.Sc,3.6,4,2,5,2,8,9,2,4,4,10,7,5,2,Network Engineer,18.59
B.Tech,3.3,5,4,5,3,6,9,7,3,6,10,7,4,1,Network Engineer,13.42
M.Tech,2.9,8,7,6,4,3,7,3,6,2,3,4,4,2,Software Developer,17.35
M.Sc,0.7,6,3,6,1,7,6,3,6,2,9,6,2,1,Network Engineer,10.81
B.Tech,3.3,8,8,7,2,5,7,5,4,2,5,7,7,2,Software Developer,15.9
B.Sc,0.8,9,10,4,6,6,5,6,7,5,4,7,3,2,ML Engineer,14.78
B.Sc,3.8,9,4,2,2,3,7,5,3,10,5,5,6,2,Embedded Systems Engineer,16.92
B.Tech,1.1,5,9,5,8,8,7,3,9,2,4,2,4,0,Data Scientist,13.79
B.Sc,2.8,9,6,5,10,6,6,3,8,2,1,3,6,3,Data Scientist,17.5
B.Tech,0.3,9,4,4,2,5,5,4,2,8,2,3,3,0,Embedded Systems Engineer,11.42
BCA,4.9,7,4,4,4,9,8,5,2,1,9,8,6,1,Cloud Engineer,16.99
Diploma,2.8,7,6,3,4,9,7,4,3,2,6,6,4,2,Cloud Engineer,14.04
B.Tech,3.6,9,3,3,1,3,8,5,3,6,3,6,5,3,Embedded Systems Engineer,16.17
M.Tech,1.5,3,3,5,3,1,10,8,7,1,2,4,1,1,Business Analyst,10.76
Diploma,5.0,10,9,7,9,2,7,5,10,3,3,6,4,2,Data Scientist,18.36
BCA,0.0,8,3,6,4,9,6,4,2,4,8,9,0,2,Cloud Engineer,12.54
M.Tech,3.7,7,6,8,9,6,6,6,8,3,3,3,7,2,Data Scientist,20.99
B.Tech,3.0,9,10,4,9,9,7,5,6,3,6,6,6,3,ML Engineer,19.98
B.Tech,1.9,6,6,6,2,4,10,4,8,4,1,1,3,1,Data Analyst,9.57
MBA,3.7,5,4,3,2,7,5,6,5,2,7,7,4,1,Network Engineer,13.6
B.Tech,4.1,10,4,1,1,2,6,4,6,9,4,3,6,3,Embedded Systems Engineer,15.28
B.Tech,4.2,5,1,6,1,2,9,6,6,2,1,1,5,2,Business Analyst,15.99
MBA,4.3,9,4,3,4,10,8,5,5,2,9,8,5,3,Cloud Engineer,21.55
MBA,3.8,2,1,5,3,3,9,6,7,5,1,3,9,2,Business Analyst,19.23
B.Tech,3.2,4,7,6,10,8,9,4,6,4,4,6,5,3,ML Engineer,20.25
M.Tech,1.8,6,6,6,3,5,8,5,9,2,2,4,4,2,Data Analyst,13.31
M.Tech,2.8,7,6,9,3,4,6,3,10,3,4,4,1,2,Data Analyst,15.01
MBA,1.8,8,6,1,5,1,4,2,1,9,3,7,5,1,Embedded Systems Engineer,18.59
BCA,2.3,5,2,4,1,5,10,7,4,1,2,2,5,2,Business Analyst,13.96
M.Tech,1.3,8,3,4,2,2,3,2,3,7,7,3,2,1,Embedded Systems Engineer,12.05
BCA,1.4,7,5,2,2,1,5,7,4,6,6,7,3,2,Embedded Systems Engineer,11.18
BCA,3.3,7,10,7,9,6,8,5,9,2,3,2,4,2,Data Scientist,16.9
B.Tech,3.0,10,8,8,8,9,7,6,7,1,4,6,4,2,ML Engineer,18.47
MBA,4.4,9,10,8,9,3,7,5,10,1,3,3,8,3,Data Scientist,21.6
B.Tech,4.1,4,6,7,2,1,8,7,9,1,4,1,5,2,Data Analyst,15.11
M.Sc,3.2,9,6,7,3,6,6,2,7,1,3,4,7,0,Software Developer,20.47
MBA,2.3,8,3,5,2,6,8,6,3,4,8,7,5,1,Network Engineer,15.06
BCA,3.8,6,5,3,2,8,8,8,3,1,10,9,7,4,Cloud Engineer,16.53
M.Tech,3.8,7,8,6,4,3,7,5,8,1,3,2,4,3,Data Analyst,14.97
B.Tech,3.4,5,4,7,2,3,10,6,8,1,4,1,5,1,Business Analyst,14.35
B.Tech,1.8,6,7,9,2,4,7,6,6,2,2,4,4,1,Data Analyst,11.38
MBA,1.2,9,7,5,2,8,6,6,3,1,10,9,2,2,Cloud Engineer,17.02
B.Sc,2.6,8,9,8,6,5,3,6,7,4,5,3,3,2,Data Scientist,15.15
M.Tech,2.9,7,4,8,7,3,3,6,9,2,5,5,7,1,Data Scientist,18.47
B.Tech,3.0,8,10,6,9,6,5,5,7,4,7,6,6,1,ML Engineer,22.12
MBA,0.0,8,7,8,6,6,6,3,5,2,2,5,2,2,Software Developer,12.04
BCA,0.9,6,7,8,5,2,9,4,9,2,3,3,3,3,Data Analyst,13.55
B.Tech,3.8,7,8,10,6,5,5,7,10,1,4,2,7,1,Data Analyst,15.61
BCA,3.8,8,6,4,9,6,4,5,7,2,4,6,5,3,ML Engineer,17.69
MBA,0.0,6,9,9,3,5,9,4,10,1,3,4,3,1,Data Analyst,11.28
M.Sc,3.6,8,10,5,10,6,5,5,3,1,5,7,5,1,ML Engineer,18.32
M.Tech,3.6,1,4,6,2,3,9,9,9,1,1,2,4,2,Business Analyst,13.51
Diploma,4.0,6,3,4,4,8,8,5,1,3,10,8,7,4,Network Engineer,18.23
B.Sc,2.5,3,3,7,2,3,7,9,8,1,2,2,4,3,Business Analyst,10.3
B.Tech,2.5,7,4,4,3,7,9,4,3,5,7,10,5,2,Network Engineer,17.12
B.Sc,2.0,2,1,6,2,4,10,7,7,1,1,1,5,0,Business Analyst,13.31
B.Tech,2.5,5,7,7,5,4,7,4,9,3,2,3,4,0,Data Analyst,11.86
B.Tech,4.4,7,5,3,3,3,6,2,4,8,2,4,7,2,Embedded Systems Engineer,14.78
B.Tech,5.4,9,7,8,9,7,6,4,6,4,4,10,8,2,ML Engineer,24.13
BCA,4.1,4,3,2,4,7,8,7,1,4,9,7,4,1,Network Engineer,15.17
B.Tech,0.2,5,2,4,2,7,10,7,4,2,9,8,1,2,Network Engineer,11.15
B.Tech,0.3,7,3,1,3,1,4,5,7,10,3,5,2,1,Embedded Systems Engineer,12.15
B.Sc,2.3,3,1,5,3,1,8,10,8,2,5,2,3,1,Business Analyst,10.02
Diploma,3.3,5,6,8,3,4,6,3,7,3,1,5,8,2,Data Analyst,10.86
B.Tech,1.7,9,4,2,4,2,8,3,3,9,4,6,4,1,Embedded Systems Engineer,11.98
M.Tech,2.8,4,2,4,3,3,9,10,6,4,3,1,5,3,Business Analyst,14.92
MBA,3.2,2,3,3,2,8,6,6,1,5,9,8,5,2,Network Engineer,14.09
B.Tech,4.3,7,6,5,3,5,4,4,2,4,9,6,9,4,Network Engineer,17.18
M.Tech,4.3,4,3,8,1,2,9,9,9,1,1,2,5,1,Business Analyst,14.12
B.Tech,1.8,6,6,3,5,10,5,6,5,1,7,8,2,1,Cloud Engineer,13.58
M.Sc,2.2,6,3,1,4,7,3,8,2,7,10,8,4,1,Network Engineer,14.66
M.Sc,3.4,7,4,2,4,7,7,5,4,4,10,7,7,2,Network Engineer,16.25
B.Tech,3.4,9,7,6,9,8,6,5,8,3,6,7,8,4,ML Engineer,22.75
B.Tech,2.3,3,2,7,2,1,9,6,6,1,3,2,4,2,Business Analyst,11.05
BCA,4.9,4,5,2,1,5,6,3,4,1,9,8,10,4,Cloud Engineer,20.47
M.Tech,1.2,8,6,4,10,5,8,3,10,5,4,4,3,0,Data Scientist,17.97
M.Tech,4.2,7,5,1,4,7,8,4,4,2,10,9,5,4,Network Engineer,19.28
B.Tech,3.3,9,8,8,10,9,5,4,5,2,6,9,7,0,ML Engineer,21.16
B.Tech,4.3,9,10,7,8,8,7,3,8,4,5,6,8,3,ML Engineer,20.92
BCA,2.6,10,9,9,2,6,5,5,5,1,5,5,7,2,Software Developer,19.13
B.Tech,1.6,7,4,1,3,2,3,3,3,8,3,5,4,0,Embedded Systems Engineer,12.72
B.Tech,2.4,6,6,10,3,5,8,4,7,2,3,6,3,4,Data Analyst,14.95
B.Sc,4.3,7,3,2,5,6,8,6,3,4,10,8,7,4,Network Engineer,16.48
B.Tech,1.9,7,4,5,4,10,7,4,4,6,8,8,3,1,Cloud Engineer,11.09
MBA,1.1,9,4,2,2,2,7,4,4,10,5,6,3,2,Embedded Systems Engineer,12.73
B.Sc,2.1,9,6,5,10,4,5,1,9,2,5,2,2,2,Data Scientist,16.93
B.Tech,3.0,6,4,5,2,3,9,8,9,3,5,2,3,2,Business Analyst,16.83
B.Sc,2.5,7,2,2,1,5,9,6,1,3,10,10,5,3,Network Engineer,13.37
M.Tech,3.0,8,8,9,3,3,8,6,9,3,5,2,4,2,Data Analyst,16.47
BCA,2.6,7,2,2,2,9,7,3,2,5,10,8,6,0,Network Engineer,14.19
M.Tech,3.9,8,2,6,2,3,5,2,2,8,4,7,6,2,Embedded Systems Engineer,17.78
B.Tech,5.2,10,10,8,8,6,6,2,10,2,4,4,7,2,Data Scientist,19.49
B.Tech,3.0,10,4,3,4,3,5,2,3,10,3,3,9,2,Embedded Systems Engineer,16.69
B.Tech,2.5,9,9,6,10,5,5,4,7,3,5,7,1,3,ML Engineer,21.79
B.Tech,3.4,4,2,6,3,1,10,8,6,1,2,2,6,4,Business Analyst,15.75
B.Tech,3.2,8,4,2,4,1,8,5,3,10,2,5,5,3,Embedded Systems Engineer,15.97
B.Tech,3.3,10,8,5,8,7,6,5,9,2,3,5,3,2,Data Scientist,20.09
BCA,1.3,8,8,7,7,5,6,4,8,4,3,4,3,1,Data Scientist,14.86
B.Tech,3.0,8,5,1,2,4,5,4,3,9,6,6,3,3,Embedded Systems Engineer,15.52
BCA,2.9,6,5,3,1,2,5,4,1,10,5,5,5,2,Embedded Systems Engineer,13.06
BCA,4.0,8,4,5,5,3,6,3,2,10,3,8,8,3,Embedded Systems Engineer,16.31
B.Tech,4.7,10,7,7,9,4,5,5,10,4,4,5,8,3,Data Scientist,23.2
B.Tech,5.2,10,10,6,9,6,10,5,6,5,7,10,11,3,ML Engineer,24.39
M.Tech,3.0,10,10,7,10,10,8,5,10,4,4,7,6,3,ML Engineer,20.74
B.Tech,0.9,6,9,6,1,4,7,4,10,1,3,3,1,1,Data Analyst,11.65
M.Tech,1.4,6,3,7,1,3,10,8,9,1,2,1,4,2,Business Analyst,15.72
B.Sc,3.3,4,2,4,3,7,7,5,2,3,10,9,6,2,Network Engineer,15.08
B.Tech,3.0,7,7,7,7,7,8,6,7,2,5,6,5,0,ML Engineer,18.86
M.Tech,0.5,8,9,4,10,6,7,4,8,1,5,3,5,1,Data Scientist,14.63
B.Sc,4.2,7,5,4,5,8,8,4,3,4,8,8,8,4,Cloud Engineer,20.55
M.Sc,2.4,9,4,2,1,3,4,7,1,9,6,6,5,1,Embedded Systems Engineer,12.8
M.Tech,3.3,4,1,9,4,1,9,8,9,2,1,1,5,3,Business Analyst,16.63
B.Tech,3.9,5,1,6,2,3,10,9,6,2,1,1,5,3,Business Analyst,16.75
B.Tech,3.3,6,6,6,1,5,7,7,7,1,2,1,5,2,Business Analyst,13.84
B.Tech,2.8,8,5,4,2,7,5,5,4,3,8,10,5,2,Cloud Engineer,13.89
B.Tech,3.0,3,4,3,1,8,6,9,2,3,8,10,5,1,Network Engineer,15.35
B.Tech,2.3,6,4,4,2,8,7,6,1,3,10,5,4,3,Network Engineer,14.5
MBA,1.4,5,5,5,3,1,5,6,4,10,4,5,3,1,Embedded Systems Engineer,13.88
M.Tech,3.4,7,3,3,1,7,8,5,3,3,7,8,6,2,Network Engineer,17.13
M.Sc,2.5,7,3,5,4,10,9,3,6,3,10,8,4,1,Cloud Engineer,17.62
M.Sc,2.6,3,2,7,2,2,7,7,6,1,3,3,7,1,Business Analyst,15.1
M.Tech,2.2,6,5,6,3,10,7,8,4,4,8,9,6,3,Cloud Engineer,19.14
B.Tech,4.2,5,5,4,1,8,8,4,1,4,9,6,4,2,Network Engineer,15.55
B.Sc,6.0,7,7,5,1,5,8,4,2,2,5,3,9,3,Software Developer,19.81
B.Tech,0.9,7,7,9,2,2,6,6,9,1,2,5,2,1,Data Analyst,9.85
B.Tech,2.3,7,4,1,4,1,5,4,5,7,2,4,5,2,Embedded Systems Engineer,12.1
M.Tech,3.0,7,5,7,3,5,9,3,9,1,1,3,5,4,Data Analyst,17.0
B.Sc,2.6,6,7,4,6,10,7,6,4,2,6,8,5,1,Cloud Engineer,14.06
B.Tech,3.6,9,6,7,6,6,6,6,5,1,3,2,5,2,Software Developer,18.83
B.Sc,5.9,7,5,4,4,10,8,5,5,4,10,8,10,2,Cloud Engineer,21.32
M.Sc,5.3,7,9,10,6,3,6,4,10,2,3,4,6,3,Data Analyst,20.9
MBA,3.0,9,4,3,1,3,7,3,2,8,4,6,8,3,Embedded Systems Engineer,18.46
MBA,5.1,2,2,5,1,4,7,7,6,3,3,1,9,1,Business Analyst,16.99
B.Tech,1.5,1,4,2,4,8,9,3,4,7,10,9,4,1,Network Engineer,14.14
M.Tech,4.4,7,5,4,3,5,7,5,5,5,8,9,7,3,Network Engineer,18.03
M.Tech,4.5,2,1,6,1,2,10,7,7,1,4,2,7,4,Business Analyst,17.15
Diploma,4.5,7,5,2,3,4,4,4,4,8,5,6,9,2,Embedded Systems Engineer,15.92
M.Sc,4.0,7,7,6,3,5,8,5,8,1,4,4,4,2,Software Developer,16.61
B.Tech,4.7,8,5,4,1,10,6,2,3,4,8,10,8,3,Cloud Engineer,19.6
M.Tech,2.5,6,6,7,2,1,9,1,10,1,2,2,7,2,Data Analyst,16.23
BCA,5.8,8,4,4,1,3,7,5,3,9,3,5,6,3,Embedded Systems Engineer,15.83
MBA,0.8,6,5,5,3,8,8,3,2,3,10,8,3,0,Cloud Engineer,12.11
M.Tech,2.3,8,3,4,3,1,6,4,4,9,6,5,4,1,Embedded Systems Engineer,13.58
MBA,2.6,10,9,7,8,6,5,3,7,3,4,6,5,3,ML Engineer,19.79
M.Tech,5.2,7,5,3,2,10,7,6,4,3,7,8,8,3,Cloud Engineer,21.76
M.Tech,2.5,2,1,6,3,1,8,9,6,2,2,4,5,2,Business Analyst,13.28
B.Tech,2.8,7,9,7,3,4,6,3,9,2,4,7,5,1,Data Analyst,16.45
B.Tech,4.0,9,10,5,8,9,6,6,6,3,7,7,8,3,ML Engineer,20.55
M.Sc,3.3,5,1,4,4,6,7,4,1,3,8,7,5,2,Network Engineer,16.74
B.Tech,2.3,10,9,6,6,9,4,3,7,5,6,7,5,1,ML Engineer,18.28
Diploma,5.1,6,3,1,2,6,5,4,2,6,7,8,11,2,Network Engineer,17.7
B.Tech,3.8,5,5,4,3,7,6,6,3,4,10,6,6,1,Network Engineer,16.73
M.Tech,3.2,4,7,8,3,4,10,5,7,2,2,3,5,1,Data Analyst,13.31
M.Sc,3.3,10,10,5,3,4,5,6,7,3,3,3,4,3,Software Developer,16.67
MBA,2.7,6,2,4,2,5,6,6,1,3,9,10,6,3,Network Engineer,16.37
B.Tech,6.5,7,2,4,3,2,5,5,1,9,2,6,10,3,Embedded Systems Engineer,21.26
B.Sc,4.5,3,1,8,1,2,10,9,9,1,3,1,6,3,Business Analyst,14.86
B.Tech,3.6,7,5,2,2,10,6,5,4,3,9,9,8,2,Cloud Engineer,15.94
B.Sc,3.3,9,6,4,1,3,5,5,5,7,2,6,5,3,Embedded Systems Engineer,15.13
B.Sc,2.7,6,7,5,4,10,5,2,5,2,7,9,8,2,Cloud Engineer,18.43
MBA,0.0,8,4,2,3,1,6,3,4,10,2,5,0,0,Embedded Systems Engineer,8.7
M.Tech,4.1,10,5,1,2,3,6,2,1,8,5,8,8,3,Embedded Systems Engineer,18.84
BCA,2.0,9,8,6,4,5,5,3,6,2,3,4,3,3,Software Developer,13.27
BCA,2.7,6,3,1,2,5,6,3,1,3,10,7,3,2,Network Engineer,13.32
B.Tech,4.8,7,6,4,3,1,4,4,3,8,3,5,7,0,Embedded Systems Engineer,15.09
MBA,8.2,7,6,5,1,9,4,7,3,2,10,9,10,4,Cloud Engineer,24.64
B.Tech,2.2,10,6,7,8,7,4,6,8,2,6,7,6,1,ML Engineer,18.03
MBA,3.7,8,6,2,2,9,5,4,4,4,9,10,7,2,Cloud Engineer,19.65
B.Tech,3.6,7,5,5,5,3,10,5,6,1,5,4,6,4,Software Developer,17.13
B.Tech,2.0,7,3,7,4,4,7,5,4,2,5,5,7,3,Software Developer,16.51
BCA,3.0,7,5,3,1,6,8,5,2,6,10,7,4,2,Network Engineer,16.23
B.Tech,5.1,5,3,6,3,8,8,6,2,4,9,10,9,2,Network Engineer,20.25
M.Tech,3.9,7,6,10,4,3,9,3,8,2,4,5,8,2,Data Analyst,17.64
MBA,2.5,6,9,8,5,2,8,7,9,2,4,2,1,2,Data Analyst,15.41
B.Tech,2.6,10,7,9,2,2,6,5,5,1,4,3,6,2,Software Developer,13.98
B.Tech,4.6,2,2,6,1,2,5,6,7,1,4,1,9,2,Business Analyst,14.52
B.Sc,1.8,6,6,7,5,3,7,6,8,3,3,4,2,3,Data Analyst,15.67
BCA,4.6,10,7,7,10,8,4,4,8,2,5,9,7,2,ML Engineer,20.25
B.Tech,3.9,5,5,2,3,7,9,6,3,6,9,7,6,2,Network Engineer,17.77
M.Tech,3.3,10,10,6,7,7,10,6,8,4,4,7,5,4,ML Engineer,21.74
M.Tech,3.4,8,9,7,9,4,9,2,9,3,3,3,6,2,Data Scientist,20.13
B.Tech,3.9,6,9,6,8,6,7,1,7,5,6,9,3,1,ML Engineer,19.29
B.Tech,2.5,6,2,3,2,1,5,7,4,10,4,5,5,2,Embedded Systems Engineer,12.73
MBA,3.7,9,10,5,7,9,5,6,7,3,6,6,6,2,ML Engineer,19.16
B.Tech,3.9,7,5,4,3,10,7,6,4,1,8,9,8,2,Cloud Engineer,17.95
BCA,5.7,10,8,5,9,7,6,3,8,4,3,8,7,2,ML Engineer,22.45
MBA,1.9,7,7,8,3,1,6,5,9,2,4,3,4,2,Data Analyst,13.74
B.Tech,3.1,6,7,6,3,3,7,3,7,3,3,4,6,1,Software Developer,17.57
MBA,0.4,9,9,10,7,8,5,4,7,2,5,5,4,0,ML Engineer,16.73
MBA,3.1,7,4,4,2,2,6,4,4,10,4,6,6,2,Embedded Systems Engineer,16.48
BCA,0.0,6,6,8,2,5,9,5,9,4,1,4,0,2,Data Analyst,7.01
B.Tech,2.6,3,2,7,1,3,8,10,10,1,3,1,4,1,Business Analyst,13.81
B.Tech,3.1,7,8,5,2,9,7,7,4,6,7,8,4,1,Cloud Engineer,15.89
B.Sc,4.3,6,2,1,1,7,1,3,1,6,10,8,7,3,Network Engineer,15.0
M.Tech,5.4,5,3,8,3,2,10,9,7,1,1,3,9,3,Business Analyst,20.93
M.Tech,3.5,8,10,6,2,6,5,5,5,3,6,5,7,3,Software Developer,15.86
B.Tech,3.5,3,2,4,3,8,5,5,2,4,10,7,5,3,Network Engineer,14.18
Diploma,3.8,6,6,6,6,5,7,3,9,5,6,6,6,3,Software Developer,18.31
